Books,,TV Show,
Manly adjectives,Womanly adjectives,Manly adjectives,Womanly adjectives
reflective,pleasant,honest,nervous
changeable,reflective,dull,gentle
ambitious,complaining,clever,complicated
severe,queer,handsome,confused
wary,superstitious,strong,handsome
suspicious,retiring,cruel,honest
unkind,obliging,quick,warm
irritable,tactful,gentle,curious
fickle,civilized,loyal,clever
sentimental,demanding,complicated,generous
