,0,1,source,word
﻿we,-19.862080645057226,15.30017860360096,books,﻿we
should,-7.062421580434559,-31.186038163434866,books,should
start,-11.00298127276311,-27.54141479629392,books,start
back,14.354938187914028,-26.538712206669256,books,back
,-7.508869797066065,-18.559266858961276,books,
gared,6.032540585250609,-6.5282212732796365,books,gared
urged,-1.2192780457749672,-32.019086231216114,books,urged
as,-7.889061971993103,-21.721091283720398,books,as
the,5.5202523987056225,-24.325179993421827,books,the
woods,7.777597880377557,-24.353702527231867,books,woods
began,0.6006897111993328,-30.71292757179405,books,began
to,-7.404627754575186,-30.748041533865408,books,to
grow,-10.540662573865744,-27.31365259723894,books,grow
dark,12.835069615060036,-23.396690759715913,books,dark
around,13.222725407535675,-26.63036441122304,books,around
them,-16.918449189061583,-23.58863346921273,books,them
wildlings,2.4922526551480053,-23.050881384319286,books,wildlings
are,-6.347777757368006,-28.63798575633339,books,are
dead,6.344591321135306,-19.17582832558524,books,dead
do,-13.807454879938852,-26.624418065351584,books,do
frighten,-12.73984456683287,-26.29050211618603,books,frighten
you,-6.769944794534492,-24.759997039936895,books,you
ser,-21.898956479531407,-17.983897202713724,books,ser
waymar,-25.72125622943862,-18.34223195313032,books,waymar
royce,-19.87785824304658,-17.76199259620995,books,royce
asked,-1.977316537462153,-32.084112751915534,books,asked
with,12.287838709282983,-20.235928842131532,books,with
just,-6.952700535737597,-21.280883347381405,books,just
hint,-4.075052438259982,-22.21086345999216,books,hint
of,-7.781843979883514,-25.040245120498028,books,of
a,4.939078386181418,-26.75782571642373,books,a
smile,23.248644742302343,-17.15844608820064,books,smile
did,-6.648309765993729,-31.091085455410184,books,did
not,-7.352523599439405,-22.807474741567585,books,not
rise,-10.782945497788278,-27.79341668442005,books,rise
bait,13.976047384694683,2.5474331766724316,books,bait
he,-18.287514213992694,-21.070001260138106,books,he
was,-5.594412675134174,-28.990660923695923,books,was
an,5.070199326177514,-26.509554968374875,books,an
old,-5.1121341106403015,-18.58191762138171,books,old
man,-4.85316658085222,-25.27994992131559,books,man
past,12.396424029218798,-26.301910938907504,books,past
fifty,2.287509225108566,-25.449896112775413,books,fifty
and,12.091890969395998,-20.17621674230168,books,and
had,-7.096234583933169,-26.83342465067355,books,had
seen,-1.8646470847816508,-29.5711057119125,books,seen
lordlings,2.133957878498985,-21.946438919239466,books,lordlings
come,-11.213775081720131,-28.42960508603467,books,come
go,-11.22203207912422,-28.35198002441725,books,go
is,-5.677757027776927,-28.98959015776427,books,is
said,-2.0150135236675695,-32.04793539120623,books,said
we,-6.741333220444648,-24.777967994623335,books,we
have,-13.095286800323311,-27.663445119072914,books,have
no,-7.034993682674032,-22.78671503565397,books,no
business,-2.7419203578418685,-23.14807683138026,books,business
they,2.4462930123830424,-23.161809602591504,books,they
softly,4.288377136366385,-6.882914060041846,books,softly
what,-7.486278341407042,-23.043682127328196,books,what
proof,-3.3074293243849255,-20.603880021594193,books,proof
will,-7.059394342884052,-31.19631527926148,books,will
saw,0.649439838899784,-30.318811864451373,books,saw
if,-8.21592257455059,-22.60704530234626,books,if
says,-2.133812552582277,-31.95591200367918,books,says
thats,-6.017880702842146,-28.46198362408648,books,thats
enough,-7.9506425453551675,-21.515015825162674,books,enough
for,-10.096312743913767,-22.546059194945137,books,for
me,-16.79602841879093,-23.691620389161354,books,me
known,-2.0701978091116144,-29.701621167192247,books,known
would,-7.048471573260532,-31.187039577524956,books,would
drag,-10.03986786709766,-27.045147638200692,books,drag
him,-17.028291236311624,-23.444218606084338,books,him
into,13.054544363036714,-26.841212978060913,books,into
quarrel,19.658994792530525,-13.241860056444148,books,quarrel
sooner,-21.817204047411018,-9.689351634700973,books,sooner
or,-8.911749416656601,-22.159028604937863,books,or
later,2.4962776484891362,-26.3791498140942,books,later
wished,-2.5402687381820357,-30.7347275633534,books,wished
it,-7.02762347764321,-23.28943339686188,books,it
been,-1.081736830343132,-28.708684292578948,books,been
rather,-21.70174805556381,-9.597234245390487,books,rather
than,-8.478257381324406,-21.521813819491083,books,than
my,-4.851029929713974,-21.522112654780116,books,my
mother,-2.9081913742092684,-25.15933309460031,books,mother
told,-2.0465214180775146,-32.08886056213453,books,told
that,-7.0885975442010105,-23.14999547311107,books,that
men,2.279408726447188,-23.06577769939171,books,men
sing,-12.989763417437862,-27.00122806901204,books,sing
songs,0.9709431290170111,-22.791134741148138,books,songs
put,4.713716571777371,-33.085788172501715,books,put
in,11.962572854125552,-26.187820828489137,books,in
wet,15.17566365164202,-22.21140509825514,books,wet
nurse,5.04108936875831,-7.092987754739443,books,nurse
same,-4.138618877589271,-20.565803660586578,books,same
thing,-4.661638143009843,-24.387386983584037,books,thing
replied,-1.7742680793481773,-31.966882454061412,books,replied
never,-7.333740584216216,-22.880548156095777,books,never
believe,-13.673942538692318,-27.02062204798381,books,believe
anything,-6.935234823330709,-23.560275734417157,books,anything
hear,-13.648849645678657,-27.33656524830671,books,hear
at,1.4789478493515382,-27.87419365402425,books,at
womans,17.678058601893458,-18.793816104854173,books,womans
tit,10.305948868223883,27.37551810113036,books,tit
there,-6.390268536508272,-22.17243487830292,books,there
things,1.3925069315408194,-23.184651569874724,books,things
be,-11.701854350300875,-28.20051996022447,books,be
learned,-2.3708514131886638,-30.51274432045798,books,learned
even,-8.407387985747333,-21.472570384357674,books,even
from,12.521669715782068,-26.51563233668766,books,from
his,13.884516240640629,-14.794323134382969,books,his
voice,23.394234900114064,-17.438332788648655,books,voice
echoed,6.748109214671423,-30.146041190861396,books,echoed
too,-7.901147441581777,-21.629696791228543,books,too
